1736Y-1338400000,NBH-A19-SW-2SE-Gi1/0/5
1736Y-1338700000,NBH-A19-SW-2SE-Gi2/0/2
1736Y-1338800000,NBH-A19-SW-2SE-Gi1/0/1
1736Y-1338900000,NBH-A09-SW-GSW-Gi1/0/9
1736Y-1339000000,NBH-A18-SW-2NW-Gi1/0/2
1736Y-1339100000,NBH-A19-SW-2SE-Gi1/0/3
1736Y-1339200000,NBH-A19-SW-2SE-Gi2/0/3
1736Y-1339300000,NBH-A19-SW-2SE-Gi4/0/4
1736Y-1339400000,NBH-A09-SW-GSW-Gi2/0/10
1736Y-1339500000,NBH-A08-SW-GSE-Gi2/0/17
1736Y-1339600000,NBH-A09-SW-GSW-Gi1/0/11
1736Y-1339700000,NBH-A09-SW-GSW-Gi5/0/47
1736Y-1339800000,NBH-A37-SW-7NE-Gi1/0/20
1736Y-1339900000,NBH-A37-SW-7NE-Gi1/0/19
1736Y-1340000000,NBH-A09-SW-GSW-Gi3/0/12
1736Y-1340100000,NBH-A09-SW-GSW-Gi2/0/9
1736Y-1340200000,NBH-A20-SW-2SW-Gi4/0/5
1736Y-1340300000,NBH-A04-SW-BNW-Gi1/0/3
1736Y-1340400000,NBH-A25-SW-4NE-Gi1/0/6
1736Y-1340500000,NBH-A05-SW-GNE-Gi3/0/4
1736Y-1340600000,NBH-A08-SW-GSE-Gi3/0/16
1736Y-1340700000,NBH-A05-SW-GNE-Gi2/0/5
1736Y-1340800000,NBH-A20-SW-2SW-Gi1/0/4
1736Y-1340900000,NBH-A24-SW-3SW-Gi1/0/4
1736Y-1341000000,NBH-A32-SW-5SW-Gi1/0/3
1736Y-1341100000,NBH-A37-SW-7NE-Gi1/0/3
1736Y-1341200000,NBH-A08-SW-GSE-Gi4/0/17
1736Y-1341300000,NBH-A38-SW-7NW-Gi1/0/8
1736Y-1341400000,NBH-A31-SW-5SE-Gi3/0/4
1736Y-1341500000,NBH-A09-SW-GSW-Gi5/0/10
1736Y-1341600000,NBH-A09-SW-GSW-Gi1/0/1
1736Y-1341700000,NBH-A32-SW-5SW-Gi3/0/3
1736Y-1341800000,NBH-A16-SW-1SW-Gi4/0/1
1736Y-1341900000,NBH-A23-SW-3SE-Gi3/0/2
1736Y-1342000000,NBH-A24-SW-3SW-Gi1/0/7
1736Y-1342100000,NBH-A05-SW-GNE-Gi3/0/6
1736Y-1342200000,NBH-A32-SW-5SW-Gi2/0/3
1736Y-1342300000,NBH-A20-SW-2SW-Gi5/0/5
1736Y-1342400000,NBH-A38-SW-7NW-Gi1/0/7
1736Y-1342500000,NBH-A18-SW-2NW-Gi2/0/3
1736Y-1342600000,NBH-A18-SW-2NW-Gi2/0/1
1736Y-1342700000,NBH-A08-SW-GSE-Gi3/0/17
1736Y-1342800000,NBH-A17-SW-2NE-Gi1/0/2
1736Y-1342900000,NBH-A09-SW-GSW-Gi3/0/9
1736Y-1343000000,NBH-A19-SW-2SE-Gi3/0/2
1736Y-1343100000,NBH-A26-SW-4NW-Gi3/0/4
1736Y-1343200000,NBH-A26-SW-4NW-Gi3/0/3
1736Y-1343300000,NBH-A05-SW-GNE-Gi2/0/6
1736Y-1343400000,NBH-A33-SW-6NE-Gi1/0/5
1736Y-1343500000,NBH-A26-SW-4NW-Gi1/0/4
1736Y-1343600000,NBH-A33-SW-6NE-Gi1/0/8
1736Y-1343700000,NBH-A26-SW-4NW-Gi2/0/4
1736Y-1343800000,NBH-A10-SW-1NE-Gi1/0/7
1736Y-1343900000,NBH-A26-SW-4NW-Gi3/0/1
1736Y-1344000000,NBH-A04-SW-BNW-Gi1/0/5
1736Y-1344100000,NBH-A10-SW-1NE-Gi2/0/9
1736Y-1344200000,NBH-A26-SW-4NW-Gi2/0/5
1736Y-1344300000,NBH-A26-SW-4NW-Gi3/0/5
1736Y-1344400000,NBH-A34-SW-6NW-Gi2/0/11
1736Y-1344500000,NBH-A26-SW-4NW-Gi2/0/2
1736Y-1344600000,NBH-A16-SW-1SW-Gi2/0/1
1736Y-1344700000,NBH-A05-SW-GNE-Gi1/0/2
1736Y-1344800000,NBH-A32-SW-5SW-Gi1/0/2
1736Y-1344900000,NBH-A16-SW-1SW-Gi3/0/2
1736Y-1345000000,NBH-A10-SW-1NE-Gi2/0/8
1736Y-1345100000,NBH-A32-SW-5SW-Gi3/0/1
1736Y-1345200000,NBH-A31-SW-5SE-Gi1/0/6
1736Y-1345300000,NBH-A31-SW-5SE-Gi3/0/3
1736Y-1345400000,NBH-A31-SW-5SE-Gi1/0/3
1736Y-1345500000,NBH-A24-SW-3SW-Gi2/0/3
1736Y-1345600000,NBH-A24-SW-3SW-Gi1/0/8
1736Y-1345700000,NBH-A26-SW-4NW-Gi1/0/3
1736Y-1345800000,NBH-A03-SW-BNE-Gi3/0/3
1736Y-1345900000,NBH-A05-SW-GNE-Gi2/0/1
1736Y-1346000000,NBH-A31-SW-5SE-Gi3/0/1
1736Y-1346100000,NBH-A05-SW-GNE-Gi4/0/1
1736Y-1346200000,NBH-A10-SW-1NE-Gi2/0/2
1736Y-1346300000,NBH-A30-SW-5NW-Gi1/0/7
1736Y-1346400000,NBH-A34-SW-6NW-Gi2/0/12
1736Y-1346500000,NBH-A10-SW-1NE-Gi1/0/9
1736Y-1346600000,NBH-A12-SW-1NW-Gi5/0/2
1736Y-1346700000,NBH-A03-SW-BNE-Gi3/0/7
1736Y-1346800000,NBH-A24-SW-3SW-Gi2/0/8
1736Y-1346900000,NBH-A24-SW-3SW-Gi1/0/5
1736Y-1347000000,NBH-A03-SW-BNE-Gi3/0/4
1736Y-1347100000,NBH-A26-SW-4NW-Gi1/0/6
1736Y-1347200000,NBH-A34-SW-6NW-Gi1/0/13
1736Y-1347300000,NBH-A12-SW-1NW-Gi2/0/5
1736Y-1347400000,NBH-A05-SW-GNE-Gi2/0/3
1736Y-1347500000,NBH-A12-SW-1NW-Gi3/0/5
1736Y-1347600000,NBH-A25-SW-4NE-Gi1/0/2
1736Y-1347700000,NBH-A26-SW-4NW-Gi1/0/2
00000,
1736Y-1347900000,NBH-A26-SW-4NW-Gi2/0/3
1736Y-1348000000,NBH-A24-SW-3SW-Gi1/0/6
1736Y-1348100000,NBH-A08-SW-GSE-Gi3/0/13
1736Y-1348200000,NBH-A27-SW-4SE-Gi4/0/1
1736Y-1348300000,NBH-A32-SW-5SW-Gi3/0/2
1736Y-1348400000,NBH-A37-SW-7NE-Gi1/0/41
1736Y-1348500000,NBH-A07-SW-GNW-Gi1/0/1
1736Y-1348600000,NBH-A10-SW-1NE-Gi4/0/7
1736Y-1348700000,NBH-A26-SW-4NW-Gi1/0/1
1736Y-1348800000,NBH-A16-SW-1SW-Gi3/0/3
1736Y-1348900000,NBH-A10-SW-1NE-Gi4/0/6
1736Y-1349000000,NBH-A07-SW-GNW-Gi5/0/4
1736Y-1349100000,NBH-A22-SW-3NW-Gi1/0/19
1736Y-1349200000,NBH-A07-SW-GNW-Gi3/0/2
1736Y-1349300000,NBH-A34-SW-6NW-Gi2/0/4
1736Y-1349400000,NBH-A22-SW-3NW-Gi2/0/10
1736Y-1349500000,NBH-A03-SW-BNE-Gi1/0/38
1736Y-1349600000,NBH-A07-SW-GNW-Gi1/0/5
1736Y-1349700000,NBH-A09-SW-GSW-Gi4/0/2
1736Y-1349800000,NBH-A36-SW-6SW-Gi1/0/1
1736Y-1349900000,NBH-A19-SW-2SE-Gi1/0/4
1736Y-1350000000,NBH-A03-SW-BNE-Gi2/0/2
1736Y-1350100000,NBH-A05-SW-GNE-Gi4/0/6
1736Y-1350200000,NBH-A04-SW-BNW-Gi1/0/2
1736Y-1350300000,NBH-A09-SW-GSW-Gi5/0/2
1736Y-1350400000,NBH-A03-SW-BNE-Gi2/0/1
1736Y-1350500000,NBH-A27-SW-4SE-Gi1/0/4
1736Y-1350600000,NBH-A14-SW-1SE-Gi3/0/1
1736Y-1350700000,NBH-A38-SW-7NW-Gi1/0/18
1736Y-1350800000,NBH-A07-SW-GNW-Gi2/0/2
1736Y-1350900000,NBH-A34-SW-6NW-Gi1/0/12
1736Y-1351000000,NBH-A03-SW-BNE-Gi1/0/47
1736Y-1351100000,NBH-A04-SW-BNW-Gi2/0/4
1736Y-1351200000,NBH-A07-SW-GNW-Gi1/0/3
1736Y-1351300000,NBH-A05-SW-GNE-Gi1/0/7
1736Y-1351400000,NBH-A23-SW-3SE-Gi3/0/1
1736Y-1351500000,NBH-A37-SW-7NE-Gi1/0/15
1736Y-1351600000,NBH-A34-SW-6NW-Gi1/0/4
1736Y-1351700000,NBH-A27-SW-4SE-Gi2/0/2
1736Y-1351800000,NBH-A29-SW-5NE-Gi3/0/1
1736Y-1351900000,NBH-A38-SW-7NW-Gi1/0/13
1736Y-1352000000,NBH-A28-SW-4SW-Gi3/0/2
1736Y-1352100000,NBH-A28-SW-4SW-Gi1/0/2
1736Y-1352200000,NBH-A30-SW-5NW-Gi3/0/7
1736Y-1352300000,NBH-A04-SW-BNW-Gi1/0/6
1736Y-1352400000,NBH-A34-SW-6NW-Gi2/0/9
1736Y-1352500000,NBH-A30-SW-5NW-Gi3/0/6
1736Y-1352600000,NBH-A29-SW-5NE-Gi1/0/2
1736Y-1352700000,NBH-A29-SW-5NE-Gi1/0/1
1736Y-1352800000,NBH-A29-SW-5NE-Gi2/0/1
1736Y-1352900000,NBH-A28-SW-4SW-Gi2/0/2
1736Y-1353000000,NBH-A19-SW-2SE-Gi2/0/1
1736Y-1353100000,NBH-A25-SW-4NE-Gi3/0/3
1736Y-1353200000,NBH-A29-SW-5NE-Gi3/0/3
1736Y-1353300000,NBH-A30-SW-5NW-Gi1/0/6
1736Y-1353400000,NBH-A25-SW-4NE-Gi3/0/4
1736Y-1353500000,NBH-A05-SW-GNE-Gi4/0/4
1736Y-1353600000,NBH-A19-SW-2SE-Gi3/0/5
1736Y-1353700000,NBH-A25-SW-4NE-Gi4/0/3
1736Y-1353800000,NBH-A25-SW-4NE-Gi4/0/4
1736Y-1353900000,NBH-A33-SW-6NE-Gi1/0/14
1736Y-1354000000,NBH-A25-SW-4NE-Gi2/0/5
1736Y-1354100000,NBH-A25-SW-4NE-Gi4/0/2
1736Y-1354200000,NBH-A19-SW-2SE-Gi2/0/5
1736Y-1354300000,NBH-A25-SW-4NE-Gi1/0/4
1736Y-1354400000,NBH-A20-SW-2SW-Gi3/0/4
1736Y-1354500000,NBH-A25-SW-4NE-Gi2/0/4
1736Y-1354600000,NBH-A19-SW-2SE-Gi3/0/3
1736Y-1354700000,NBH-A25-SW-4NE-Gi2/0/3
1736Y-1354800000,NBH-A19-SW-2SE-Gi3/0/1
1736Y-1354900000,NBH-A18-SW-2NW-Gi1/0/3
1736Y-1355000000,NBH-A19-SW-2SE-Gi4/0/1
1736Y-1355100000,NBH-A38-SW-7NW-Gi1/0/6
1736Y-1355200000,NBH-A26-SW-4NW-Gi1/0/5
1736Y-1355300000,NBH-A08-SW-GSE-Gi1/0/17
1736Y-1355400000,NBH-A18-SW-2NW-Gi3/0/1
1736Y-1355500000,NBH-A03-SW-BNE-Gi1/0/5
1736Y-1355600000,NBH-A37-SW-7NE-Gi1/0/6
1736Y-1355700000,NBH-A37-SW-7NE-Gi1/0/18
1736Y-1355800000,NBH-A18-SW-2NW-Gi3/0/4
1736Y-1355900000,NBH-A08-SW-GSE-Gi3/0/3
1736Y-1356000000,NBH-A03-SW-BNE-Gi2/0/9
1736Y-1356100000,NBH-A29-SW-5NE-Gi3/0/7
1736Y-1356200000,NBH-A10-SW-1NE-Gi3/0/7
1736Y-1356300000,NBH-A18-SW-2NW-Gi3/0/2
1736Y-1356400000,NBH-A18-SW-2NW-Gi1/0/1
00000,
1736Y-1356600000,NBH-A18-SW-2NW-Gi4/0/1
1736Y-1356700000,NBH-A08-SW-GSE-Gi2/0/3
1736Y-1356800000,NBH-A39-SW-6E-Gi3/0/5
1736Y-1357000000,NBH-A30-SW-5NW-Gi1/0/2
1736Y-1357100000,NBH-A08-SW-GSE-Gi2/0/20
1736Y-1357200000,NBH-A03-SW-BNE-Gi2/0/7
1736Y-1357300000,NBH-A08-SW-GSE-Gi1/0/4
1736Y-1357400000,NBH-A39-SW-6E-Gi1/0/7
1736Y-1357500000,NBH-A30-SW-5NW-Gi1/0/3
